Headin÷CAN begin OK
LSM6DS3TR-C Found!
Accelerometer range set to: +-2G
Accelerometer data rate set to: 12.5 Hz
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:-0.08 A Des:[-0.54] Act:[0.70] B Des:6.98] Act:[5.50] [Immediate] [-0.99] [8.95] [-3.75] | PC:8
Heading:-0.18 A Des:[-1.25] Act:[0.00] B Des:6.89] Act:[4.00] [Immediate] [-0.93] [9.26] [-2.96] | PC:9
Heading:-0.18 A Des:[-1.25] Act:[-2.20] B Des:6.89] Act:[2.90] [Immediate] [-0.84] [9.58] [-1.51] | PC:9
Heading:-0.26 A Des:[-1.78] Act:[-0.70] B Des:6.77] Act:[1.90] [Immediate] [-0.76] [9.71] [-0.55] | PC:10
Heading:-0.26 A Des:[-1.78] Act:[0.00] B Des:6.77] Act:[3.90] [Immediate] [-0.66] [9.67] [1.03] | PC:10
Heading:-0.23 A Des:[-1.61] Act:[-2.30] B Des:6.81] Act:[5.60] [Immediate] [-0.39] [9.52] [2.12] | PC:11
Heading:-0.23 A Des:[-1.61] Act:[-0.30] B Des:6.81] Act:[3.60] [Immediate] [-0.03] [9.20] [3.27] | PC:11
Heading:-0.32 A Des:[-2.23] Act:[-1.10] B Des:6.64] Act:[3.50] [Immediate] [0.78] [8.48] [4.88] | PC:12
Heading:-0.32 A Des:[-2.23] Act:[-1.60] B Des:6.64] Act:[5.00] [Immediate] [1.40] [7.79] [5.88] | PC:12
Heading:-0.26 A Des:[-1.77] Act:[-2.90] B Des:6.77] Act:[4.60] [Immediate] [2.21] [6.49] [7.16] | PC:13
Heading:-0.26 A Des:[-1.77] Act:[-1.10] B Des:6.77] Act:[3.30] [Immediate] [2.65] [5.54] [7.81] | PC:13
Heading:-0.32 A Des:[-2.23] Act:[-4.50] B Des:6.63] Act:[5.00] [Immediate] [3.18] [4.07] [8.54] | PC:14
Heading:-0.32 A Des:[-2.23] Act:[-2.70] B Des:6.63] Act:[2.80] [Immediate] [3.43] [3.04] [8.88] | PC:14
Heading:-0.43 A Des:[-2.90] Act:[1.20] B Des:6.37] Act:[3.10] [Immediate] [3.64] [1.58] [9.19] | PC:15
Heading:-0.43 A Des:[-2.90] Act:[-2.30] B Des:6.37] Act:[4.40] [Immediate] [3.72] [0.65] [9.28] | PC:15
Heading:-0.38 A Des:[-2.57] Act:[-0.40] B Des:6.51] Act:[-1.70] [Immediate] [3.93] [-0.84] [9.19] | PC:16
Heading:-0.38 A Des:[-2.57] Act:[-2.70] B Des:6.51] Act:[3.10] [Immediate] [4.21] [-1.66] [8.96] | PC:16
Heading:-0.25 A Des:[-1.70] Act:[-2.80] B Des:6.79] Act:[2.40] [Immediate] [4.87] [-2.89] [8.33] | PC:17
Heading:-0.25 A Des:[-1.70] Act:[-3.20] B Des:6.79] Act:[4.40] [Immediate] [5.50] [-3.54] [7.71] | PC:17
Heading:-0.24 A Des:[-1.66] Act:[-1.90] B Des:6.80] Act:[0.90] [Immediate] [6.45] [-4.36] [6.53] | PC:18
Heading:-0.24 A Des:[-1.66] Act:[-0.50] B Des:6.80] Act:[5.30] [Immediate] [6.97] [-4.74] [5.73] | PC:18
Heading:-0.33 A Des:[-2.29] Act:[-0.20] B Des:6.62] Act:[1.50] [Immediate] [7.46] [-5.24] [4.60] | PC:19
Heading:-0.33 A Des:[-2.29] Act:[-0.10] B Des:6.62] Act:[2.40] [Immediate] [7.57] [-5.65] [3.89] | PC:19
Heading:-0.33 A Des:[-2.24] Act:[1.90] B Des:6.63] Act:[6.30] [Immediate] [7.48] [-6.26] [2.96] | PC:20
Heading:-0.33 A Des:[-2.24] Act:[-0.30] B Des:6.63] Act:[4.50] [Immediate] [7.44] [-6.58] [2.29] | PC:20
Heading:-0.39 A Des:[-2.66] Act:[-1.40] B Des:6.47] Act:[4.40] [Immediate] [7.55] [-6.77] [1.14] | PC:21
Heading:-0.39 A Des:[-2.66] Act:[-0.50] B Des:6.47] Act:[4.40] [Immediate] [7.74] [-6.64] [0.41] | PC:21
Heading:-0.26 A Des:[-1.78] Act:[-2.90] B Des:6.77] Act:[2.30] [Immediate] [8.19] [-6.13] [-0.59] | PC:22
Heading:-0.26 A Des:[-1.78] Act:[-3.70] B Des:6.77] Act:[5.90] [Immediate] [8.57] [-5.51] [-1.13] | PC:22
Heading:-0.17 A Des:[-1.20] Act:[-3.20] B Des:6.90] Act:[4.80] [Immediate] [9.13] [-4.43] [-1.76] | PC:23
Heading:-0.17 A Des:[-1.20] Act:[-0.40] B Des:6.90] Act:[4.50] [Immediate] [9.39] [-3.72] [-2.02] | PC:23
Heading:-0.23 A Des:[-1.59] Act:[0.30] B Des:6.82] Act:[3.20] [Immediate] [9.63] [-2.87] [-2.33] | PC:24
Heading:-0.23 A Des:[-1.59] Act:[-1.10] B Des:6.82] Act:[1.80] [Immediate] [9.68] [-2.47] [-2.58] | PC:24
Heading:-0.17 A Des:[-1.16] Act:[0.40] B Des:6.90] Act:[4.00] [Immediate] [9.67] [-2.01] [-3.02] | PC:25
Heading:-0.17 A Des:[-1.16] Act:[1.40] B Des:6.90] Act:[5.10] [Immediate] [9.64] [-1.68] [-3.30] | PC:25
Heading:-0.11 A Des:[-0.79] Act:[-1.60] B Des:6.96] Act:[3.20] [Immediate] [9.65] [-1.07] [-3.56] | PC:26
Heading:-0.11 A Des:[-0.79] Act:[-0.20] B Des:6.96] Act:[4.30] [Immediate] [9.68] [-0.62] [-3.58] | PC:26
Heading:-0.03 A Des:[-0.22] Act:[-0.30] B Des:7.00] Act:[5.30] [Immediate] [9.73] [0.04] [-3.49] | PC:27
Heading:-0.03 A Des:[-0.22] Act:[-0.10] B Des:7.00] Act:[6.90] [Immediate] [9.77] [0.44] [-3.37] | PC:27
Heading:0.05 A Des:[0.34] Act:[0.40] B Des:6.99] Act:[6.30] [Immediate] [9.80] [1.03] [-3.15] | PC:28
Heading:0.05 A Des:[0.34] Act:[0.60] B Des:6.99] Act:[3.00] [Immediate] [9.81] [1.38] [-2.99] | PC:28
Heading:-0.03 A Des:[-0.22] Act:[3.50] B Des:7.00] Act:[8.40] [Immediate] [9.81] [1.88] [-2.69] | PC:29
Heading:-0.03 A Des:[-0.22] Act:[1.00] B Des:7.00] Act:[5.60] [Immediate] [9.81] [2.20] [-2.47] | PC:29
Heading:0.06 A Des:[0.41] Act:[0.70] B Des:6.99] Act:[3.90] [Immediate] [9.80] [2.62] [-2.08] | PC:30
Heading:0.06 A Des:[0.41] Act:[-0.10] B Des:6.99] Act:[3.20] [Immediate] [9.80] [2.83] [-1.76] | PC:30
Heading:0.12 A Des:[0.83] Act:[4.10] B Des:6.95] Act:[7.50] [Immediate] [9.80] [3.10] [-1.27] | PC:31
Heading:0.12 A Des:[0.83] Act:[-0.10] B Des:6.95] Act:[8.90] [Immediate] [9.79] [3.25] [-0.93] | PC:31
Heading:0.07 A Des:[0.47] Act:[1.10] B Des:6.98] Act:[5.20] [Immediate] [9.78] [3.34] [-0.55] | PC:32
Heading:0.07 A Des:[0.47] Act:[0.10] B Des:6.98] Act:[1.60] [Immediate] [9.75] [3.50] [0.01] | PC:32
Heading:0.19 A Des:[1.33] Act:[1.30] B Des:6.87] Act:[4.60] [Immediate] [9.70] [3.59] [0.42] | PC:33
Heading:0.19 A Des:[1.33] Act:[-1.90] B Des:6.87] Act:[4.10] [Immediate] [9.61] [3.66] [1.09] | PC:33
Heading:0.21 A Des:[1.49] Act:[1.40] B Des:6.84] Act:[4.90] [Immediate] [9.56] [3.65] [1.54] | PC:34
Heading:0.21 A Des:[1.49] Act:[0.50] B Des:6.84] Act:[4.40] [Immediate] [9.50] [3.45] [2.19] | PC:34
Heading:0.17 A Des:[1.21] Act:[0.00] B Des:6.89] Act:[3.30] [Immediate] [9.48] [3.22] [2.61] | PC:35
Heading:0.17 A Des:[1.21] Act:[1.50] B Des:6.89] Act:[4.40] [Immediate] [9.40] [2.85] [3.23] | PC:35
Heading:0.22 A Des:[1.56] Act:[0.40] B Des:6.82] Act:[4.30] [Immediate] [9.32] [2.56] [3.65] | PC:36
Heading:0.22 A Des:[1.56] Act:[-1.20] B Des:6.82] Act:[4.80] [Immediate] [9.16] [2.00] [4.34] | PC:36
Heading:0.31 A Des:[2.10] Act:[-1.60] B Des:6.68] Act:[3.30] [Immediate] [9.00] [1.59] [4.79] | PC:37
Heading:0.31 A Des:[2.10] Act:[0.10] B Des:6.68] Act:[2.10] [Immediate] [8.69] [0.78] [5.48] | PC:37
Heading:0.32 A Des:[2.18] Act:[0.90] B Des:6.65] Act:[4.90] [Immediate] [8.44] [0.15] [5.87] | PC:38
Heading:0.32 A Des:[2.18] Act:[0.10] B Des:6.65] Act:[1.80] [Immediate] [8.08] [-0.94] [6.26] | PC:38
Heading:0.21 A Des:[1.45] Act:[4.00] B Des:6.85] Act:[3.90] [Immediate] [7.84] [-1.72] [6.36] | PC:39
Heading:0.21 A Des:[1.45] Act:[0.40] B Des:6.85] Act:[1.30] [Immediate] [7.47] [-2.93] [6.32] | PC:39
Heading:0.22 A Des:[1.55] Act:[1.70] B Des:6.83] Act:[5.50] [Immediate] [7.23] [-3.79] [6.12] | PC:40
Heading:0.22 A Des:[1.55] Act:[-1.00] B Des:6.83] Act:[1.30] [Immediate] [7.01] [-4.88] [5.54] | PC:40
Heading:0.22 A Des:[1.51] Act:[-0.40] B Des:6.84] Act:[4.70] [Immediate] [6.94] [-5.51] [5.00] | PC:41
Heading:0.22 A Des:[1.51] Act:[0.70] B Des:6.84] Act:[6.20] [Immediate] [6.84] [-6.36] [4.01] | PC:41
Heading:0.30 A Des:[2.07] Act:[-0.30] B Des:6.69] Act:[1.10] [Immediate] [6.77] [-6.80] [3.32] | PC:42
Heading:0.30 A Des:[2.07] Act:[-1.00] B Des:6.69] Act:[4.30] [Immediate] [6.61] [-7.35] [2.24] | PC:42
Heading:0.35 A Des:[2.41] Act:[-0.30] B Des:6.57] Act:[2.80] [Immediate] [6.42] [-7.71] [1.43] | PC:43
Heading:0.35 A Des:[2.41] Act:[1.40] B Des:6.57] Act:[3.60] [Immediate] [5.95] [-8.15] [0.28] | PC:43
Heading:0.40 A Des:[2.70] Act:[-0.60] B Des:6.46] Act:[4.80] [Immediate] [5.48] [-8.43] [-0.58] | PC:44
Heading:0.40 A Des:[2.70] Act:[3.40] B Des:6.46] Act:[3.70] [Immediate] [4.71] [-8.63] [-1.91] | PC:44
Heading:0.38 A Des:[2.61] Act:[1.80] B Des:6.49] Act:[3.50] [Immediate] [4.18] [-8.62] [-2.88] | PC:45
Heading:0.38 A Des:[2.61] Act:[3.80] B Des:6.49] Act:[2.90] [Immediate] [3.42] [-8.36] [-4.18] | PC:45
Heading:0.51 A Des:[3.44] Act:[-0.10] B Des:6.10] Act:[3.60] [Immediate] [3.00] [-8.02] [-5.06] | PC:46
Heading:0.51 A Des:[3.44] Act:[0.00] B Des:6.10] Act:[2.40] [Immediate] [2.56] [-7.23] [-6.30] | PC:46
Heading:0.40 A Des:[2.70] Act:[3.80] B Des:6.46] Act:[3.70] [Immediate] [2.33] [-6.61] [-7.01] | PC:47
Heading:0.40 A Des:[2.70] Act:[0.00] B Des:6.46] Act:[3.70] [Immediate] [1.82] [-5.62] [-7.93] | PC:47
Heading:0.47 A Des:[3.20] Act:[-0.60] B Des:6.23] Act:[3.00] [Immediate] [1.33] [-4.85] [-8.48] | PC:48
Heading:0.47 A Des:[3.20] Act:[1.70] B Des:6.23] Act:[7.10] [Immediate] [0.46] [-3.46] [-9.20] | PC:48
Heading:0.40 A Des:[2.70] Act:[1.90] B Des:6.46] Act:[2.90] [Immediate] [-0.18] [-2.51] [-9.48] | PC:49
Heading:0.40 A Des:[2.70] Act:[3.00] B Des:6.46] Act:[5.40] [Immediate] [-1.20] [-0.99] [-9.64] | PC:49
Heading:0.35 A Des:[2.37] Act:[2.40] B Des:6.59] Act:[2.70] [Immediate] [-1.84] [0.09] [-9.56] | PC:50
Heading:0.35 A Des:[2.37] Act:[-0.50] B Des:6.59] Act:[1.40] [Immediate] [-2.61] [1.67] [-9.19] | PC:50
Heading:0.32 A Des:[2.20] Act:[2.50] B Des:6.65] Act:[3.60] [Immediate] [-3.00] [2.67] [-8.82] | PC:51
Heading:0.32 A Des:[2.20] Act:[4.00] B Des:6.65] Act:[7.00] [Immediate] [-3.46] [4.14] [-8.01] | PC:51
Heading:0.34 A Des:[2.31] Act:[-1.00] B Des:6.61] Act:[6.80] [Immediate] [-3.68] [5.05] [-7.35] | PC:52
Heading:0.34 A Des:[2.31] Act:[1.20] B Des:6.61] Act:[2.80] [Immediate] [-3.86] [5.84] [-6.22] | PC:52
Heading:0.37 A Des:[2.56] Act:[2.70] B Des:6.52] Act:[4.70] [Immediate] [-4.14] [6.86] [-5.30] | PC:53
Heading:0.37 A Des:[2.56] Act:[2.30] B Des:6.52] Act:[3.00] [Immediate] [-4.39] [7.35] [-4.32] | PC:53
Heading:0.45 A Des:[3.02] Act:[2.20] B Des:6.32] Act:[5.50] [Immediate] [-4.95] [7.68] [-2.76] | PC:54
Heading:0.45 A Des:[3.02] Act:[4.80] B Des:6.32] Act:[5.00] [Immediate] [-5.43] [7.61] [-1.69] | PC:54
Heading:0.44 A Des:[2.97] Act:[3.70] B Des:6.34] Act:[4.40] [Immediate] [-6.18] [7.16] [-0.28] | PC:55
Heading:0.44 A Des:[2.97] Act:[4.00] B Des:6.34] Act:[4.30] [Immediate] [-6.62] [6.69] [0.53] | PC:55
Heading:0.53 A Des:[3.55] Act:[2.00] B Des:6.03] Act:[3.70] [Immediate] [-7.17] [5.87] [1.52] | PC:56
Heading:0.53 A Des:[3.55] Act:[0.30] B Des:6.03] Act:[4.80] [Immediate] [-7.44] [5.31] [2.06] | PC:56
Heading:0.67 A Des:[4.32] Act:[1.60] B Des:5.51] Act:[1.40] [Immediate] [-7.77] [4.48] [2.64] | PC:57
Heading:0.67 A Des:[4.32] Act:[2.40] B Des:5.51] Act:[3.20] [Immediate] [-8.00] [3.88] [2.86] | PC:57
Heading:0.55 A Des:[3.67] Act:[1.20] B Des:5.96] Act:[3.40] [Immediate] [-8.37] [2.87] [2.92] | PC:58
Heading:0.55 A Des:[3.67] Act:[1.00] B Des:5.96] Act:[0.90] [Immediate] [-8.61] [2.25] [2.75] | PC:58
