CAN begin OK
LSM6DS3TR-C Found!
Accelerometer range set to: +-2G
Accelerometer data rate set to: 12.5 Hz
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [-0.18] [-9.52] [-2.24] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.90] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.80] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.80] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[2.20] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.24] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.90] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.24] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.20] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.24] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.50] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.53] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.70] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.53] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.60] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.53] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.50] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.53] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.10] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.24] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.70] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.90] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.24] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[1.70] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.10] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.90] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.60] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[-1.30] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.90] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.53] [-2.24] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.80] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.24] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.80] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.24] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.50] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[1.10] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.20] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.53] [-2.24] | PC:0
Heading:0.00 A Des:[0.00] Act:[-1.00] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.24] | PC:0
Heading:0.00 A Des:[0.00] Act:[-1.40] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.24] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[-1.40] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[1.10] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.53] [-2.24] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.60] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.53] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.30] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.24] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.40] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[-1.10] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.60] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[1.20] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.53] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[-1.00] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.90] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.24] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.20] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[-1.10] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.50] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.53] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[-1.90] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[-1.90] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.53] [-2.25] | PC:0
Heading:0.20 A Des:[1.42] Act:[-1.90] B Des:6.85] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.24] | PC:1
Heading:0.20 A Des:[1.42] Act:[-1.30] B Des:6.85] Act:[0.00] [Immediate] [0.49] [-9.53] [-2.25] | PC:1
Heading:0.45 A Des:[3.02] Act:[-0.40] B Des:6.32] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.25] | PC:2
Heading:0.45 A Des:[3.02] Act:[0.20] B Des:6.32] Act:[-1.80] [Immediate] [0.49] [-9.54] [-2.24] | PC:2
Heading:0.74 A Des:[4.70] Act:[1.10] B Des:5.19] Act:[-2.80] [Immediate] [0.48] [-9.54] [-2.25] | PC:3
Heading:0.74 A Des:[4.70] Act:[2.40] B Des:5.19] Act:[-1.10] [Immediate] [0.45] [-9.54] [-2.25] | PC:3
Heading:0.94 A Des:[5.65] Act:[1.90] B Des:4.13] Act:[0.40] [Immediate] [0.27] [-9.53] [-2.26] | PC:4
Heading:0.94 A Des:[5.65] Act:[1.50] B Des:4.13] Act:[-2.70] [Immediate] [0.00] [-9.52] [-2.28] | PC:4
Heading:1.13 A Des:[6.33] Act:[2.70] B Des:2.99] Act:[0.10] [Immediate] [-0.79] [-9.43] [-2.32] | PC:5
Heading:1.13 A Des:[6.33] Act:[2.40] B Des:2.99] Act:[2.40] [Immediate] [-1.55] [-9.29] [-2.36] | PC:5
Heading:1.42 A Des:[6.92] Act:[2.30] B Des:1.02] Act:[0.00] [Immediate] [-2.84] [-8.88] [-2.50] | PC:6
Heading:1.42 A Des:[6.92] Act:[5.30] B Des:1.02] Act:[-1.40] [Immediate] [-3.73] [-8.47] [-2.59] | PC:6
Heading:1.58 A Des:[7.00] Act:[3.20] B Des:-0.08] Act:[-0.70] [Immediate] [-5.02] [-7.70] [-2.58] | PC:7
Heading:1.58 A Des:[7.00] Act:[3.80] B Des:-0.08] Act:[1.90] [Immediate] [-5.85] [-7.08] [-2.45] | PC:7
Heading:1.88 A Des:[6.67] Act:[3.10] B Des:-2.11] Act:[0.80] [Immediate] [-6.99] [-5.99] [-2.10] | PC:8
Heading:1.88 A Des:[6.67] Act:[5.70] B Des:-2.11] Act:[1.00] [Immediate] [-7.67] [-5.13] [-1.82] | PC:8
Heading:2.02 A Des:[6.31] Act:[4.30] B Des:-3.04] Act:[-0.50] [Immediate] [-8.26] [-4.17] [-1.50] | PC:9
Heading:2.02 A Des:[6.31] Act:[5.70] B Des:-3.04] Act:[0.40] [Immediate] [-8.90] [-2.64] [-0.98] | PC:9
Heading:2.19 A Des:[5.71] Act:[3.90] B Des:-4.04] Act:[-1.30] [Immediate] [-9.16] [-1.63] [-0.59] | PC:10
Heading:2.19 A Des:[5.71] Act:[2.90] B Des:-4.04] Act:[0.30] [Immediate] [-9.30] [-0.20] [0.01] | PC:10
Heading:2.46 A Des:[4.44] Act:[3.90] B Des:-5.41] Act:[1.40] [Immediate] [-9.27] [0.66] [0.38] | PC:11
Heading:2.46 A Des:[4.44] Act:[1.60] B Des:-5.41] Act:[0.60] [Immediate] [-9.09] [1.82] [0.88] | PC:11
Heading:2.61 A Des:[3.56] Act:[1.30] B Des:-6.03] Act:[1.30] [Immediate] [-8.91] [2.45] [1.14] | PC:12
Heading:2.61 A Des:[3.56] Act:[-0.10] B Des:-6.03] Act:[-0.20] [Immediate] [-8.61] [3.28] [1.44] | PC:12
Heading:2.92 A Des:[1.53] Act:[2.80] B Des:-6.83] Act:[-0.30] [Immediate] [-8.40] [3.76] [1.56] | PC:13
Heading:2.92 A Des:[1.53] Act:[2.60] B Des:-6.83] Act:[-2.00] [Immediate] [-8.11] [4.40] [1.48] | PC:13
Heading:3.10 A Des:[0.32] Act:[0.60] B Des:-6.99] Act:[-2.70] [Immediate] [-7.95] [4.78] [1.22] | PC:14
Heading:3.10 A Des:[0.32] Act:[1.00] B Des:-6.99] Act:[-4.10] [Immediate] [-7.78] [5.17] [0.71] | PC:14
Heading:3.24 A Des:[-0.68] Act:[0.00] B Des:-6.97] Act:[-4.60] [Immediate] [-7.76] [5.27] [0.26] | PC:15
Heading:3.24 A Des:[-0.68] Act:[1.10] B Des:-6.97] Act:[-0.80] [Immediate] [-7.83] [5.17] [-0.45] | PC:15
Heading:3.53 A Des:[-2.67] Act:[-2.30] B Des:-6.47] Act:[-2.70] [Immediate] [-7.90] [4.99] [-0.89] | PC:16
Heading:3.53 A Des:[-2.67] Act:[1.60] B Des:-6.47] Act:[-2.40] [Immediate] [-8.01] [4.62] [-1.59] | PC:16
Heading:3.91 A Des:[-4.86] Act:[1.20] B Des:-5.04] Act:[-2.50] [Immediate] [-8.08] [4.32] [-2.06] | PC:17
Heading:3.91 A Des:[-4.86] Act:[-2.70] B Des:-5.04] Act:[-1.80] [Immediate] [-8.20] [3.74] [-2.64] | PC:17
Heading:4.16 A Des:[-5.95] Act:[-3.80] B Des:-3.68] Act:[-1.70] [Immediate] [-8.36] [3.23] [-2.85] | PC:18
Heading:4.16 A Des:[-5.95] Act:[-3.80] B Des:-3.68] Act:[-0.30] [Immediate] [-8.67] [2.27] [-2.78] | PC:18
Heading:4.31 A Des:[-6.44] Act:[-4.10] B Des:-2.74] Act:[-2.90] [Immediate] [-8.89] [1.63] [-2.45] | PC:19
Heading:4.31 A Des:[-6.44] Act:[-2.20] B Des:-2.74] Act:[-1.40] [Immediate] [-9.18] [0.72] [-1.54] | PC:19
Heading:4.56 A Des:[-6.92] Act:[-4.70] B Des:-1.05] Act:[-0.40] [Immediate] [-9.29] [0.16] [-0.72] | PC:20
Heading:4.56 A Des:[-6.92] Act:[-5.30] B Des:-1.05] Act:[-1.90] [Immediate] [-9.26] [-0.57] [0.71] | PC:20
Heading:4.74 A Des:[-7.00] Act:[-4.00] B Des:0.20] Act:[0.80] [Immediate] [-9.09] [-1.04] [1.71] | PC:21
Heading:4.74 A Des:[-7.00] Act:[-3.00] B Des:0.20] Act:[1.60] [Immediate] [-8.55] [-1.81] [3.25] | PC:21
Heading:5.12 A Des:[-6.43] Act:[-4.20] B Des:2.76] Act:[-1.00] [Immediate] [-8.01] [-2.26] [4.25] | PC:22
Heading:5.12 A Des:[-6.43] Act:[-1.10] B Des:2.76] Act:[3.90] [Immediate] [-6.97] [-2.90] [5.60] | PC:22
Heading:5.45 A Des:[-5.19] Act:[-4.10] B Des:4.70] Act:[-0.10] [Immediate] [-6.17] [-3.26] [6.36] | PC:23
Heading:5.45 A Des:[-5.19] Act:[-0.90] B Des:4.70] Act:[1.60] [Immediate] [-4.93] [-3.70] [7.24] | PC:23
Heading:5.63 A Des:[-4.23] Act:[-1.20] B Des:5.58] Act:[-0.80] [Immediate] [-4.18] [-3.93] [7.64] | PC:24
Heading:5.63 A Des:[-4.23] Act:[-2.10] B Des:5.58] Act:[0.10] [Immediate] [-3.18] [-4.22] [8.03] | PC:24
Heading:5.94 A Des:[-2.34] Act:[-2.90] B Des:6.60] Act:[2.60] [Immediate] [-2.63] [-4.40] [8.18] | PC:25
Heading:5.94 A Des:[-2.34] Act:[-1.90] B Des:6.60] Act:[-0.60] [Immediate] [-2.01] [-4.67] [8.24] | PC:25
Heading:6.24 A Des:[-0.30] Act:[-1.60] B Des:6.99] Act:[3.10] [Immediate] [-1.72] [-4.88] [8.20] | PC:26
Heading:6.24 A Des:[-0.30] Act:[0.00] B Des:6.99] Act:[1.90] [Immediate] [-1.35] [-5.36] [8.00] | PC:26
Heading:6.57 A Des:[1.95] Act:[-0.90] B Des:6.72] Act:[1.00] [Immediate] [-1.21] [-5.76] [7.74] | PC:27
Heading:6.57 A Des:[1.95] Act:[0.90] B Des:6.72] Act:[2.90] [Immediate] [-1.19] [-6.52] [7.13] | PC:27
Heading:6.89 A Des:[4.00] Act:[-1.10] B Des:5.75] Act:[0.10] [Immediate] [-1.26] [-6.95] [6.68] | PC:28
Heading:6.89 A Des:[4.00] Act:[0.00] B Des:5.75] Act:[4.20] [Immediate] [-1.49] [-7.50] [5.97] | PC:28
Heading:7.05 A Des:[4.88] Act:[1.60] B Des:5.02] Act:[5.20] [Immediate] [-1.70] [-7.84] [5.44] | PC:29
Heading:7.05 A Des:[4.88] Act:[1.80] B Des:5.02] Act:[-1.00] [Immediate] [-1.98] [-8.12] [4.87] | PC:29
Heading:7.39 A Des:[6.25] Act:[3.10] B Des:3.14] Act:[-1.00] [Immediate] [-2.62] [-8.48] [3.76] | PC:30
Heading:7.39 A Des:[6.25] Act:[0.20] B Des:3.14] Act:[1.40] [Immediate] [-3.22] [-8.57] [3.00] | PC:30
Heading:7.69 A Des:[6.91] Act:[4.80] B Des:1.12] Act:[0.70] [Immediate] [-4.26] [-8.30] [2.12] | PC:31
Heading:7.69 A Des:[6.91] Act:[5.20] B Des:1.12] Act:[1.50] [Immediate] [-5.03] [-7.95] [1.60] | PC:31
Heading:7.89 A Des:[7.00] Act:[3.60] B Des:-0.23] Act:[0.90] [Immediate] [-6.19] [-7.07] [1.19] | PC:32
Heading:7.89 A Des:[7.00] Act:[5.60] B Des:-0.23] Act:[-0.60] [Immediate] [-6.93] [-6.30] [1.07] | PC:32
Heading:8.25 A Des:[6.45] Act:[5.40] B Des:-2.73] Act:[-0.70] [Immediate] [-7.90] [-4.98] [0.84] | PC:33
Heading:8.25 A Des:[6.45] Act:[4.90] B Des:-2.73] Act:[0.70] [Immediate] [-8.45] [-3.94] [0.66] | PC:33
Heading:8.52 A Des:[5.49] Act:[4.40] B Des:-4.34] Act:[-1.30] [Immediate] [-9.02] [-2.30] [0.37] | PC:34
Heading:8.52 A Des:[5.49] Act:[2.30] B Des:-4.34] Act:[0.20] [Immediate] [-9.23] [-1.23] [0.18] | PC:34
Heading:8.73 A Des:[4.50] Act:[1.30] B Des:-5.36] Act:[-0.80] [Immediate] [-9.31] [0.25] [-0.09] | PC:35
Heading:8.73 A Des:[4.50] Act:[3.70] B Des:-5.36] Act:[0.00] [Immediate] [-9.25] [1.07] [-0.24] | PC:35
Heading:9.02 A Des:[2.75] Act:[1.20] B Des:-6.44] Act:[0.50] [Immediate] [-9.08] [2.08] [-0.45] | PC:36
Heading:9.02 A Des:[2.75] Act:[2.70] B Des:-6.44] Act:[-1.40] [Immediate] [-8.95] [2.56] [-0.57] | PC:36
Heading:9.35 A Des:[0.55] Act:[2.10] B Des:-6.98] Act:[-1.50] [Immediate] [-8.77] [3.11] [-0.74] | PC:37
Heading:9.35 A Des:[0.55] Act:[4.90] B Des:-6.98] Act:[0.00] [Immediate] [-8.66] [3.42] [-0.88] | PC:37
Heading:9.60 A Des:[-1.23] Act:[0.00] B Des:-6.89] Act:[0.80] [Immediate] [-8.54] [3.67] [-1.06] | PC:38
Heading:9.60 A Des:[-1.23] Act:[0.40] B Des:-6.89] Act:[-0.60] [Immediate] [-8.54] [3.63] [-1.17] | PC:38
Heading:9.74 A Des:[-2.15] Act:[-0.50] B Des:-6.66] Act:[-1.80] [Immediate] [-8.62] [3.35] [-1.40] | PC:39
Heading:9.74 A Des:[-2.15] Act:[-0.70] B Des:-6.66] Act:[-1.00] [Immediate] [-8.69] [3.09] [-1.61] | PC:39
Heading:10.00 A Des:[-3.79] Act:[-0.70] B Des:-5.88] Act:[-3.80] [Immediate] [-8.77] [2.64] [-1.87] | PC:40
Heading:10.00 A Des:[-3.79] Act:[0.00] B Des:-5.88] Act:[-3.40] [Immediate] [-8.83] [2.33] [-2.02] | PC:40
Heading:10.23 A Des:[-5.07] Act:[-0.50] B Des:-4.83] Act:[-2.50] [Immediate] [-8.97] [1.71] [-2.06] | PC:41
Heading:10.23 A Des:[-5.07] Act:[-3.10] B Des:-4.83] Act:[-2.80] [Immediate] [-9.09] [1.21] [-1.86] | PC:41
Heading:10.56 A Des:[-6.36] Act:[-4.60] B Des:-2.93] Act:[-4.20] [Immediate] [-9.26] [0.38] [-1.10] | PC:42
Heading:10.56 A Des:[-6.36] Act:[-3.40] B Des:-2.93] Act:[-1.70] [Immediate] [-9.32] [-0.07] [-0.34] | PC:42
Heading:10.86 A Des:[-6.93] Act:[-3.00] B Des:-0.96] Act:[0.10] [Immediate] [-9.23] [-0.61] [1.09] | PC:43
Heading:10.86 A Des:[-6.93] Act:[-5.10] B Des:-0.96] Act:[-0.70] [Immediate] [-9.02] [-0.82] [2.16] | PC:43
Heading:11.15 A Des:[-6.92] Act:[-3.20] B Des:1.06] Act:[0.70] [Immediate] [-8.44] [-1.14] [3.80] | PC:44
Heading:11.15 A Des:[-6.92] Act:[-3.60] B Des:1.06] Act:[2.10] [Immediate] [-7.88] [-1.45] [4.83] | PC:44
Heading:11.38 A Des:[-6.49] Act:[-3.10] B Des:2.61] Act:[0.00] [Immediate] [-6.79] [-1.83] [6.25] | PC:45
Heading:11.38 A Des:[-6.49] Act:[-5.60] B Des:2.61] Act:[1.10] [Immediate] [-5.94] [-2.02] [7.07] | PC:45
Heading:11.75 A Des:[-5.08] Act:[-3.90] B Des:4.81] Act:[-2.40] [Immediate] [-4.58] [-2.27] [8.04] | PC:46
Heading:11.75 A Des:[-5.08] Act:[-4.90] B Des:4.81] Act:[-0.50] [Immediate] [-3.70] [-2.43] [8.50] | PC:46
Heading:11.88 A Des:[-4.43] Act:[-1.70] B Des:5.42] Act:[-3.20] [Immediate] [-2.46] [-2.63] [8.96] | PC:47
Heading:11.88 A Des:[-4.43] Act:[-2.70] B Des:5.42] Act:[1.10] [Immediate] [-1.78] [-2.73] [9.13] | PC:47
Heading:12.20 A Des:[-2.49] Act:[-0.40] B Des:6.54] Act:[3.50] [Immediate] [-0.91] [-2.91] [9.26] | PC:48
Heading:12.20 A Des:[-2.49] Act:[-0.90] B Des:6.54] Act:[-0.20] [Immediate] [-0.44] [-3.12] [9.26] | PC:48
Heading:12.37 A Des:[-1.37] Act:[0.20] B Des:6.86] Act:[2.20] [Immediate] [0.08] [-3.51] [9.16] | PC:49
Heading:12.37 A Des:[-1.37] Act:[-2.10] B Des:6.86] Act:[0.40] [Immediate] [0.36] [-3.87] [9.02] | PC:49
Heading:12.56 A Des:[-0.03] Act:[-0.70] B Des:7.00] Act:[-1.90] [Immediate] [0.61] [-4.36] [8.79] | PC:50
Heading:12.56 A Des:[-0.03] Act:[-0.40] B Des:7.00] Act:[1.20] [Immediate] [0.90] [-5.25] [8.28] | PC:50
Heading:12.78 A Des:[1.49] Act:[-2.00] B Des:6.84] Act:[-0.10] [Immediate] [1.02] [-5.82] [7.88] | PC:51
Heading:12.78 A Des:[1.49] Act:[-1.50] B Des:6.84] Act:[2.60] [Immediate] [1.04] [-6.74] [7.12] | PC:51
Heading:13.04 A Des:[3.21] Act:[2.30] B Des:6.22] Act:[7.70] [Immediate] [0.98] [-7.23] [6.61] | PC:52
Heading:13.04 A Des:[3.21] Act:[1.00] B Des:6.22] Act:[2.50] [Immediate] [0.76] [-7.92] [5.77] | PC:52
Heading:13.32 A Des:[4.81] Act:[0.20] B Des:5.08] Act:[4.40] [Immediate] [0.49] [0.22] [-0.33] | PC:53
Heading:13.32 A Des:[4.81] Act:[2.20] B Des:5.08] Act:[5.30] [Immediate] [-0.12] [-8.88] [4.08] | PC:53
Heading:13.64 A Des:[6.15] Act:[-1.70] B Des:3.34] Act:[2.20] [Immediate] [-0.73] [-9.15] [3.29] | PC:54
Heading:13.64 A Des:[6.15] Act:[1.00] B Des:3.34] Act:[4.20] [Immediate] [-1.85] [-9.25] [2.23] | PC:54
Heading:13.88 A Des:[6.76] Act:[3.80] B Des:1.80] Act:[-0.60] [Immediate] [-2.65] [-9.16] [1.59] | PC:55
